Designator,Mid X,Mid Y,Rotation,Layer
C1,125.31,-54.545,270.0,top
C10,106.755,-58.175,270.0,top
C11,135.34,-98.2675,270.0,top
C12,138.69,-98.2675,270.0,top
C13,88.31,-58.175,270.0,top
C14,131.31,-54.505,270.0,top
C15,93.31,-91.195,90.0,top
C16,121.31,-91.175,90.0,top
C2,125.31,-60.175,270.0,top
C3,88.31,-71.65,270.0,top
C4,75.835,-81.175,0.0,top
C5,107.7425,-84.175,0.0,top
C6,113.835,-81.175,180.0,top
C7,68.99,-54.6575,270.0,top
C8,75.885,-84.145,0.0,top
C9,91.31,-81.175,90.0,top
J2,59.31,-70.26,180.0,top
J3,125.66,-89.91,0.0,top
J4,130.31,-89.91,0.0,top
J5,62.98,-55.305,270.0,top
J6,145.31,-98.175,270.0,top
J7,145.6975,-82.375,180.0,top
J8,61.9225,-99.175,0.0,top
J9,61.9225,-85.375,0.0,top
Pot1,97.31,-57.175,180.0,top
Q1,127.31,-103.255,180.0,top
Q10,147.31,-70.175,270.0,top
Q11,81.31,-52.92,0.0,top
Q12,81.31,-59.175,0.0,top
Q13,87.77,-96.8,0.0,top
Q14,98.77,-96.8,0.0,top
Q2,113.23,-103.255,180.0,top
Q3,139.935,-57.255,90.0,top
Q4,139.935,-66.715,90.0,top
Q5,99.31,-103.255,180.0,top
Q6,85.31,-103.255,180.0,top
Q7,127.31,-96.8,0.0,top
Q8,115.77,-96.8,0.0,top
Q9,147.31,-56.175,270.0,top
R1,128.31,-54.525,270.0,top
R10,135.31,-92.6375,90.0,top
R11,138.6,-92.6375,90.0,top
R12,72.31,-54.6375,270.0,top
R2,128.31,-60.175,270.0,top
R3,81.465,-81.145,180.0,top
R4,107.7225,-87.175,180.0,top
R5,107.7225,-81.175,0.0,top
R6,67.8475,-63.175,0.0,top
R7,81.36,-84.145,180.0,top
R8,96.31,-91.175,270.0,top
R9,131.28,-60.175,90.0,top
U1,98.31,-81.175,270.0,top
U2,114.755,-57.175,90.0,top
U3,76.13,-71.995,90.0,top
